FF_STB VOD: AETN: AE,A+E
FF_STB VOD: AETN: FYI,FYI Channel
FF_STB VOD: AETN: History,History Channel
FF_STB VOD: AETN: Lifetime,Lifetime
FF_STB VOD: AETN: LMN,Lifetime Movie Network
FF_STB VOD: AMC: AMC,AMC
FF_STB VOD: AMC: BBC America,BBC America
FF_STB VOD: AMC: IFC,IFC
FF_STB VOD: AMC: Sundance,Sundance TV
FF_STB VOD: AMC: WETV,WE
FF_STB VOD: DISC: American Heroes,American Heroes
FF_STB VOD: DISC: Animal Planet,Animal Planet
FF_STB VOD: DISC: Destination America,Destination America
FF_STB VOD: DISC: Discovery Channel,Discovery Channel
FF_STB VOD: DISC: Discovery Life,Discovery Life
FF_STB VOD: DISC: Investigation Discovery,Investigation Discovery
FF_STB VOD: DISC: Motor Trend,Motor Trend
FF_STB VOD: DISC: OWN,Oprah Winfrey Network
FF_STB VOD: DISC: Science Channel,Science Channel
FF_STB VOD: DISC: TLC,TLC
FF_STB VOD: DISC: Velocity,Discovery Velocity
FF_STB VOD: Fox: Fox,Fox
FF_STB VOD: Fox: FX,FX
FF_STB VOD: Fox: FXM,FXM
FF_STB VOD: Fox: Nat Geo Wild,Nat Geo
FF_STB VOD: Fox: National Geographic,Nat Geo Wild
FF_STB VOD: Hallmark: Hallmark,Hallmark
FF_STB VOD: Scripps: Cooking Channel,Cooking Channel
FF_STB VOD: Scripps: DIY Network,DIY
FF_STB VOD: Scripps: Food Network,Food Network
FF_STB VOD: Scripps: HGTV,HGTV
FF_STB VOD: Scripps: Travel Channel,Travel Channel
FF_STB VOD: Turner: Adult Swim,Adultswim
FF_STB VOD: Turner: Cartoon Network,Cartoon Network
FF_STB VOD: Turner: CNN,CNN
FF_STB VOD: Turner: TBS,TBS
FF_STB VOD: Turner: TNT,TNT
FF_STB VOD: Turner: TruTV,TruTV
FF_STB VOD: Univision,Univision
FF_STB VOD: Viacom: CMT,CMT
FF_STB VOD: Viacom: Comedy Central,Comedy Central
FF_STB VOD: Viacom: MTV,MTV
FF_STB VOD: Viacom: MTV2,MTV2
FF_STB VOD: Viacom: Paramount,Paramount
FF_STB VOD: Viacom: TV Land,TV Land
FF_STB VOD: Viacom: VH1,VH1
